soil_moisture,temperature,humidity,ph,rainfall_mm,ET0,ETc,vpd_proxy,depletion,crop_type_enc,growth_stage_enc,irrigation_label
54.32,29.85,59.95,6.47,0.32,0.5,0.51,11.954,46.87,5,2,1
65.99,36.61,56.19,6.06,19.22,0.5,0.383,16.036,29.82,1,2,1
60.76,28.33,59.99,7.46,14.71,0.5,0.446,11.335,36.41,7,2,1
95.0,22.86,48.93,6.98,22.65,0.5,0.489,11.675,0.15,2,2,0
37.59,27.74,55.26,6.97,4.48,0.5,0.45,12.409,62.34,1,0,2
65.94,29.0,32.89,6.57,14.58,0.5,0.719,19.462,31.95,6,3,1
58.81,28.79,58.84,5.54,27.62,0.5,0.446,11.849,34.91,7,2,1
54.03,30.11,70.24,6.51,65.35,0.5,0.575,8.963,29.91,0,0,1
81.08,30.37,61.57,6.02,14.07,0.5,0.46,11.67,16.3,0,1,1
47.09,29.06,19.73,6.71,0.55,0.5,0.625,23.327,54.32,6,0,2
86.58,22.78,81.45,6.66,28.28,0.5,0.383,4.225,6.8,1,2,0
40.74,32.82,91.23,6.75,29.79,0.5,0.661,2.879,52.93,8,3,2
43.92,29.48,86.22,6.43,32.46,0.5,0.525,4.062,48.7,7,0,2
60.52,21.55,38.3,6.24,9.98,0.5,0.575,13.296,38.25,8,0,1
55.91,25.57,45.4,7.15,2.61,0.5,0.46,13.958,44.54,0,1,1
78.65,22.31,82.09,6.64,4.99,0.5,0.383,3.995,20.97,1,2,1
59.59,12.81,70.23,6.6,33.47,0.5,0.36,3.812,32.34,1,1,1
62.75,33.61,42.43,6.5,3.24,0.5,0.51,19.347,37.66,3,2,1
46.3,27.82,75.21,7.81,4.04,0.5,0.575,6.898,54.05,0,0,2
95.0,23.17,52.02,5.7,72.69,0.5,0.48,11.116,0.0,5,1,0
74.76,20.73,60.58,7.18,3.01,0.5,0.42,8.172,25.48,7,1,1
69.76,27.02,75.67,9.0,1.93,0.5,0.383,6.575,30.68,1,2,1
28.2,27.9,72.1,4.82,16.21,0.5,0.36,7.786,68.36,1,1,3
33.48,18.08,48.08,6.89,98.23,0.5,0.5,9.387,41.46,6,1,2
31.58,28.85,86.17,5.54,35.1,0.5,0.531,3.991,60.35,6,2,3
47.45,35.66,44.07,5.29,25.03,0.5,0.575,19.948,47.28,2,0,2
69.54,26.26,60.28,6.53,20.35,0.5,0.489,10.431,26.24,8,2,1
64.39,33.73,51.14,6.31,13.42,0.5,0.48,16.477,33.22,3,1,1
67.74,29.97,63.96,6.02,2.79,0.5,0.604,10.799,33.02,7,3,1
82.41,26.9,50.48,5.24,27.03,0.5,0.604,13.319,11.86,4,3,0
72.72,34.76,43.64,6.17,16.89,0.5,0.575,19.592,24.2,2,0,1
55.95,30.68,61.16,6.8,8.3,0.5,0.604,11.915,43.34,4,3,1
76.53,27.08,67.16,7.07,16.14,0.5,0.6,8.896,20.65,5,0,1
51.54,29.45,71.19,5.28,12.58,0.5,0.661,8.484,46.74,8,3,1
25.66,23.65,76.0,6.22,79.76,0.5,0.625,5.675,54.54,6,0,3
25.96,32.33,49.24,5.39,10.87,0.5,0.625,16.409,72.69,6,0,3
62.22,31.86,65.35,6.91,0.73,0.5,0.45,11.04,38.71,1,0,1
58.19,37.59,76.87,5.86,9.41,0.5,0.5,8.695,40.53,6,1,1
69.82,19.9,51.3,7.27,31.28,0.5,0.604,9.689,23.31,4,3,1
45.63,34.02,63.5,6.62,31.74,0.5,0.383,12.417,46.82,1,2,2
45.3,20.24,59.57,6.03,79.32,0.5,0.69,8.181,35.17,5,3,2
29.63,24.92,70.65,6.57,35.72,0.5,0.36,7.314,61.7,1,1,3
56.12,30.31,85.36,6.62,6.73,0.5,0.446,4.438,43.19,7,2,1
51.95,34.17,71.77,7.12,32.75,0.5,0.625,9.648,40.84,6,0,1
64.0,33.09,78.3,5.62,52.44,0.5,0.42,7.182,23.0,7,1,1
51.5,25.54,88.34,5.96,11.93,0.5,0.69,2.978,47.03,3,3,1
33.28,30.09,44.1,7.12,25.49,0.5,0.48,16.822,61.09,3,1,3
46.94,38.59,69.77,5.4,23.24,0.5,0.5,11.667,48.08,6,1,2
43.67,33.99,77.21,4.97,0.83,0.5,0.575,7.746,57.55,0,0,2
37.28,40.81,44.7,5.93,7.18,0.5,0.48,22.569,62.0,5,1,2
47.34,23.57,58.56,5.12,15.54,0.5,0.46,9.769,49.65,2,1,2
84.53,26.71,62.9,5.83,0.41,0.5,0.661,9.91,17.01,2,3,1
73.92,25.91,77.01,6.53,32.61,0.5,0.46,5.958,18.49,0,1,1
72.59,28.4,81.22,7.35,19.29,0.5,0.446,5.333,23.35,7,2,1
23.9,36.14,31.25,7.48,10.86,0.5,0.5,24.848,74.44,6,1,3
95.0,45.0,65.39,7.79,42.93,0.5,0.525,15.575,0.0,7,0,0
55.43,38.85,73.19,7.05,2.8,0.5,0.383,10.415,44.78,1,2,1
13.85,30.94,48.29,5.45,9.16,0.5,0.575,16.0,85.14,2,0,4
30.55,27.08,57.85,6.47,68.56,0.5,0.46,11.413,52.24,2,1,3
64.56,17.96,36.16,6.03,0.45,0.5,0.625,11.464,36.89,6,0,1
58.61,22.99,43.11,5.31,7.24,0.5,0.69,13.079,41.18,3,3,1
36.1,24.21,44.5,7.41,5.65,0.5,0.489,13.436,63.61,8,2,2
61.03,23.19,75.69,6.65,0.75,0.5,0.661,5.638,40.43,2,3,1
54.77,30.65,63.75,5.59,28.0,0.5,0.46,11.11,38.88,0,1,1
67.53,37.8,27.62,6.0,13.06,0.5,0.446,27.357,30.08,4,2,1
16.95,15.71,62.43,5.97,82.66,0.5,0.604,5.901,62.42,7,3,3
90.04,27.87,52.18,6.99,12.29,0.5,0.525,13.327,7.98,7,0,0
38.87,35.44,80.27,6.98,37.14,0.5,0.6,6.991,52.68,5,0,2
48.0,23.79,70.03,6.63,7.74,0.5,0.525,7.13,51.24,4,0,2
70.84,26.95,59.2,6.26,9.31,0.5,0.489,10.996,27.89,8,2,1
35.25,34.05,48.18,6.14,61.99,0.5,0.575,17.646,49.58,2,0,2
32.4,26.38,44.17,7.35,9.39,0.5,0.661,14.728,66.74,2,3,3
90.18,22.55,52.15,5.92,50.08,0.5,0.69,10.791,0.0,5,3,0
22.56,34.1,77.51,6.88,26.8,0.5,0.525,7.668,71.57,7,0,3
54.88,27.45,40.62,6.26,21.61,0.5,0.489,16.3,40.55,8,2,1
32.84,19.08,86.36,6.65,64.75,0.5,0.51,2.602,51.09,5,2,3
31.15,23.58,34.39,6.3,39.76,0.5,0.69,15.471,59.92,3,3,3
67.68,28.77,61.85,4.46,41.61,0.5,0.525,10.975,22.49,4,0,1
44.08,16.22,84.44,6.59,16.76,0.5,0.46,2.523,52.58,8,1,2
74.05,27.12,55.68,5.84,26.04,0.5,0.51,12.022,20.25,3,2,1
69.38,22.33,57.45,5.18,81.21,0.5,0.446,9.502,9.98,4,2,0
5.0,35.41,55.05,6.48,10.01,0.5,0.6,15.916,93.82,5,0,4
95.0,27.37,33.09,6.71,30.96,0.5,0.48,18.315,0.0,3,1,0
65.45,23.58,43.93,6.16,20.99,0.5,0.5,13.222,30.18,6,1,1
95.0,37.08,69.78,6.92,16.56,0.5,0.46,11.206,1.72,8,1,0
48.62,33.62,97.75,5.95,16.65,0.5,0.69,0.756,48.65,5,3,2
52.8,20.13,59.98,6.02,4.02,0.5,0.661,8.055,47.77,0,3,1
51.35,28.9,90.97,6.33,50.16,0.5,0.531,2.61,36.55,6,2,1
7.88,26.74,75.57,6.48,46.51,0.5,0.525,6.534,80.97,7,0,4
73.24,25.49,51.63,6.89,0.74,0.5,0.46,12.327,27.71,8,1,1
52.45,22.09,51.8,6.52,34.49,0.5,0.6,10.649,39.81,3,0,1
43.95,29.78,67.71,5.11,58.66,0.5,0.46,9.615,41.49,8,1,2
82.32,23.94,79.28,7.23,127.93,0.5,0.719,4.961,0.0,6,3,0
57.06,22.96,70.11,6.1,21.54,0.5,0.446,6.863,38.29,7,2,1
43.45,32.36,88.37,6.74,12.47,0.5,0.661,3.763,54.86,8,3,2
63.34,19.41,50.78,6.36,132.61,0.5,0.36,9.552,2.04,1,1,1
5.0,32.54,86.42,5.67,14.18,0.5,0.42,4.418,92.25,4,1,4
56.31,34.76,67.62,6.44,20.27,0.5,0.69,11.257,39.98,5,3,1
47.93,37.84,58.18,4.98,20.63,0.5,0.661,15.825,48.2,0,3,2
51.36,36.29,58.58,5.52,99.14,0.5,0.446,15.03,23.2,4,2,1
59.26,24.53,73.22,6.5,4.76,0.5,0.489,6.57,40.69,8,2,1
29.72,32.61,53.1,7.18,15.44,0.5,0.46,15.294,67.29,8,1,3
5.0,30.44,71.07,5.22,17.73,0.5,0.575,8.806,91.69,8,0,4
34.13,25.76,73.05,7.91,23.6,0.5,0.46,6.943,60.7,2,1,3
37.48,33.72,64.24,6.14,19.06,0.5,0.46,12.06,58.56,0,1,2
20.08,26.72,45.58,6.46,46.15,0.5,0.45,14.543,68.68,1,0,3
56.37,26.98,69.53,5.68,43.37,0.5,0.383,8.221,32.97,1,2,1
40.06,29.35,58.31,6.0,26.53,0.5,0.69,12.236,54.56,5,3,2
80.76,32.74,58.15,6.98,36.7,0.5,0.575,13.704,10.85,2,0,0
29.69,28.56,64.5,4.92,87.92,0.5,0.489,10.139,47.98,8,2,2
83.35,28.02,81.97,5.51,10.88,0.5,0.575,5.051,15.17,8,0,1
54.04,32.92,67.26,7.7,28.92,0.5,0.48,10.778,39.42,3,1,1
45.23,28.94,49.01,7.12,9.89,0.5,0.489,14.754,53.34,2,2,2
45.25,20.93,82.05,6.0,26.08,0.5,0.604,3.758,49.27,7,3,2
34.36,26.34,66.78,6.67,5.41,0.5,0.661,8.751,65.84,0,3,3
18.32,25.15,40.32,7.28,51.78,0.5,0.6,15.011,69.31,5,0,3
64.56,25.89,37.72,6.04,34.04,0.5,0.42,16.123,27.38,7,1,1
37.03,25.25,72.85,7.84,42.17,0.5,0.661,6.855,53.32,8,3,2
50.06,34.47,45.84,4.97,49.68,0.5,0.48,18.668,37.83,3,1,1
92.5,21.98,79.51,6.65,51.26,0.5,0.531,4.503,0.0,6,2,0
68.25,28.79,73.56,8.06,19.63,0.5,0.661,7.611,28.14,2,3,1
19.47,23.61,76.56,6.81,20.99,0.5,0.51,5.534,76.19,5,2,4
13.33,23.63,42.1,6.68,37.89,0.5,0.531,13.682,77.85,6,2,4
74.95,19.13,89.97,7.09,31.82,0.5,0.46,1.918,17.67,8,1,1
41.04,30.78,53.67,7.88,194.97,0.5,0.42,14.26,7.79,4,1,1
32.42,29.95,27.08,6.21,108.77,0.5,0.604,21.841,39.95,7,3,2
