N,P,K,pH,Moisture,Fertility
38.33,36.2,24.04,8.35,56.14,Medium
6.46,60.24,65.92,6.08,38.5,Medium
52.8,15.27,29.86,5.58,41.36,Medium
63.18,18.67,50.06,8.19,23.46,Medium
54.15,20.03,0.0,5.72,38.1,Medium
36.41,4.91,33.78,6.64,13.05,Medium
46.71,35.0,51.02,6.15,30.37,Medium
49.63,20.8,64.9,5.41,42.49,Medium
93.73,38.5,28.06,5.77,89.18,Medium
0.0,47.69,41.98,6.05,51.11,High
64.29,7.49,0.0,5.37,46.84,Low
109.58,18.11,21.59,5.95,53.05,Medium
44.93,29.69,65.63,6.44,68.92,High
69.71,10.76,45.47,7.13,69.9,Medium
87.08,50.96,18.44,7.55,82.44,Medium
89.93,73.65,44.05,7.19,15.33,High
20.54,22.68,30.04,5.63,72.49,Medium
91.94,27.31,12.4,5.58,34.21,Medium
88.24,2.14,66.4,6.48,5.92,Medium
91.83,20.34,59.88,6.51,64.56,High
102.81,25.38,44.7,6.5,48.73,High
68.62,7.09,12.33,7.5,68.74,Medium
65.47,4.15,28.46,7.9,46.45,Medium
28.01,21.28,30.35,7.15,60.17,Medium
72.46,42.7,19.45,5.42,42.68,Medium
78.18,34.43,37.46,7.68,34.58,Medium
62.36,45.38,29.98,5.85,52.06,Medium
71.1,65.65,59.52,5.63,49.98,High
47.65,63.8,48.05,5.9,86.82,Medium
60.17,30.41,36.5,6.81,53.09,Medium
25.51,30.21,48.89,4.32,74.34,Medium
62.39,44.83,46.53,5.94,44.65,High
45.58,5.18,58.17,6.69,45.95,Medium
48.95,54.6,40.58,6.44,40.88,High
84.56,25.56,23.84,9.0,54.23,Medium
89.51,55.89,31.16,6.54,65.53,High
25.77,67.29,30.26,6.18,23.93,Medium
22.24,35.67,75.28,6.41,67.2,Medium
40.84,22.36,23.16,8.71,80.93,Medium
58.66,55.63,45.17,5.13,58.23,Medium
54.99,6.86,10.71,6.46,23.64,Medium
94.18,49.79,24.91,5.19,56.2,Medium
48.01,41.34,1.08,5.41,60.46,Medium
92.92,60.42,27.45,7.64,69.91,High
97.05,50.81,41.97,7.45,55.47,High
111.44,47.57,44.98,5.71,20.15,High
76.15,43.33,34.36,6.63,63.34,High
52.83,64.16,16.3,8.54,44.26,Medium
50.93,9.31,8.25,6.31,64.38,Medium
54.82,33.74,10.71,6.63,59.17,Medium
57.63,48.68,23.38,8.44,77.22,Medium
72.24,25.18,34.43,5.28,45.92,Medium
0.0,43.43,17.16,5.83,69.51,Medium
65.58,27.27,75.87,5.58,35.89,Medium
61.71,31.83,40.55,8.06,43.5,Medium
33.56,38.75,11.14,8.21,37.46,Low
67.14,38.28,19.39,5.65,46.72,Medium
28.84,5.97,38.95,5.33,54.3,Low
68.8,22.42,45.09,6.22,45.46,High
50.14,83.46,30.47,7.38,30.02,Medium
62.66,47.22,57.97,5.77,72.63,Medium
27.08,34.89,21.75,5.77,75.34,Medium
29.63,17.75,5.11,6.54,57.22,Medium
66.27,50.45,6.69,6.68,51.43,Medium
69.38,28.78,5.01,8.44,48.22,Medium
24.13,39.98,37.9,4.83,22.32,Low
73.89,30.8,36.46,8.93,37.79,Medium
72.31,38.89,27.39,4.92,13.36,Medium
97.62,35.16,58.02,5.29,77.2,Medium
0.0,57.8,34.24,8.04,66.72,Medium
98.48,25.29,13.76,7.64,55.56,Medium
67.07,26.52,45.1,7.58,59.27,Medium
60.9,0.0,10.74,7.03,18.49,Medium
86.35,44.11,44.43,5.13,90.94,Medium
41.55,29.67,38.39,5.51,95.0,Medium
60.28,20.59,44.0,5.07,48.51,Medium
79.03,31.79,48.36,6.42,72.0,Medium
56.58,28.43,38.46,4.75,58.24,Medium
111.56,22.3,25.25,5.52,67.2,Medium
41.38,26.44,64.28,6.77,71.94,Medium
37.37,42.81,10.29,7.39,73.32,Medium
14.45,54.45,23.84,4.93,18.95,Medium
114.59,27.18,52.29,5.32,50.54,Medium
46.6,22.4,58.1,6.98,55.39,High
87.24,19.42,33.5,5.44,51.08,Medium
14.49,29.14,40.82,5.87,17.77,Medium
71.38,23.3,42.8,7.46,59.39,High
88.5,24.3,18.04,8.21,62.42,Medium
72.91,25.43,33.5,7.14,42.55,Medium
83.12,45.21,37.11,6.16,62.54,High
82.0,5.74,55.89,7.17,23.5,Medium
36.53,41.55,72.12,7.17,45.12,High
87.2,63.18,34.24,8.11,71.0,Medium
40.02,35.13,43.01,6.55,58.11,High
13.44,34.1,36.08,9.0,27.71,Low
74.15,21.73,20.81,7.77,8.76,Medium
74.53,11.47,16.71,6.35,35.1,Medium
125.11,28.32,70.71,4.88,27.7,Medium
56.0,21.39,42.65,8.98,61.67,Medium
81.72,25.34,50.7,5.35,52.09,Medium
23.76,3.32,14.16,6.68,33.75,Low
88.4,34.78,20.25,7.69,37.99,Medium
65.41,34.2,26.94,5.54,90.74,Medium
44.32,17.49,23.01,5.21,45.04,Medium
0.0,40.71,41.4,6.77,28.64,Medium
53.14,59.49,9.31,7.06,64.37,Medium
55.9,35.08,58.18,6.9,57.19,High
67.41,41.23,60.29,7.2,72.66,High
91.9,0.0,5.36,6.05,53.15,Medium
0.0,36.8,40.77,6.61,51.12,Medium
69.25,0.0,33.05,5.21,75.22,Low
81.26,19.19,49.35,5.92,46.01,High
44.96,24.4,75.11,6.34,33.3,Medium
26.17,0.0,25.78,5.14,91.27,Low
43.84,26.27,43.74,7.26,51.63,High
87.09,33.84,49.65,7.57,45.29,High
62.93,18.71,65.13,7.28,66.19,High
33.57,35.14,13.11,5.42,54.98,Low
82.64,41.06,0.0,6.03,36.5,Medium
88.52,22.19,6.92,5.1,32.6,Medium
68.01,13.1,62.97,7.22,53.79,Medium
40.7,8.4,41.11,7.51,36.81,Medium
86.91,48.49,40.43,6.44,30.98,High
43.6,7.41,7.9,6.01,79.45,Medium
54.89,20.0,30.41,7.89,44.68,Medium
41.29,39.04,48.34,8.39,86.56,Medium
69.37,42.9,21.23,6.94,33.95,Medium
83.14,18.67,39.62,5.84,45.11,Medium
54.63,29.7,44.15,6.32,41.24,High
25.5,11.85,23.05,5.93,72.76,Low
46.63,42.93,22.52,6.66,73.05,Medium
65.44,30.17,13.17,5.67,35.15,Medium
61.6,0.0,20.46,5.71,38.97,Medium
38.71,7.38,46.9,8.09,51.44,Medium
65.31,18.72,13.65,5.92,54.86,Medium
43.03,42.72,7.02,6.82,32.94,Medium
72.46,0.36,27.95,6.63,37.29,Medium
46.75,34.67,37.46,6.72,51.41,Medium
49.2,0.0,61.32,5.0,28.23,Medium
95.04,22.43,22.19,6.12,44.62,High
85.37,46.89,48.31,6.39,95.0,High
31.76,51.58,54.65,5.96,27.99,Medium
89.49,33.27,15.28,7.0,15.42,Medium
81.07,10.98,1.03,6.07,57.2,Medium
12.96,30.93,14.34,6.44,87.89,Medium
61.91,73.46,6.62,5.99,20.74,Medium
53.96,18.53,19.46,6.62,38.04,Medium
80.73,0.0,12.25,7.27,27.9,Medium
88.05,18.69,24.58,6.93,54.65,High
67.42,52.58,38.87,6.5,59.08,High
69.3,0.0,32.59,5.9,86.97,Medium
41.64,26.7,29.8,8.7,50.12,Medium
0.0,13.5,35.59,6.81,9.82,Medium
67.45,37.93,59.18,8.58,5.0,Medium
32.93,63.46,1.84,7.02,60.32,Medium
109.46,8.98,35.15,7.4,38.74,Medium
